Entity;Year;Retail;Out;Households;Total
United States Virgin Islands;2019;13;27;77;117
United States Virgin Islands;2022;15;43;89;146
Uruguay;2019;13;26;75;113
Uruguay;2022;15;43;88;146
Uzbekistan;2019;16;28;91;134
Uzbekistan;2022;10;31;86;127
Vanuatu;2019;15;27;90;132
Vanuatu;2022;10;32;143;184
Venezuela;2019;15;27;71;114
Venezuela;2022;14;23;93;130
Vietnam;2019;16;28;77;120
Vietnam;2022;44;40;72;157
Wallis and Futuna;2022;12;20;75;107
Western Sahara;2022;15;23;141;178
World;2019;15;31;74;121
World;2022;17;36;79;132
Yemen;2019;15;26;96;136
Yemen;2022;26;30;104;159
Zambia;2019;15;27;76;118
Zambia;2022;10;31;78;119
Zimbabwe;2019;15;26;95;136
Zimbabwe;2022;8;31;49;88
